               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11295,            0.014745,                   0,          0.00045863,           0.0013889,          9.1973e-06,          2.3199e-06,             0.10693,            0.011259,                   0,             0.00044,             0.00044,             0.09604
                   1,             0.10544,            0.010628,                   0,          3.6443e-05,           0.0097222,          1.6395e-05,          3.0402e-06,             0.10395,           0.0091174,                   0,          0.00068975,          0.00068975,             0.09179
                   2,             0.10357,           0.0093925,                   0,          4.6435e-05,           0.0041667,          1.6455e-05,          2.8124e-06,            0.098592,           0.0084022,                   0,           0.0004355,           0.0004355,            0.087036
