               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087582,            0.013639,                   0,                   0,                   0,                   0,                   0,            0.085461,            0.011255,                   0,             0.00119,             0.00119,             0.08929
                   1,            0.078291,            0.011905,                   0,          0.00024243,           0.0041667,          7.3026e-05,          1.9819e-05,            0.067495,            0.010498,                   0,           0.0018523,           0.0018523,            0.077952
                   2,            0.060886,            0.012756,                   0,           0.0097064,            0.020833,             0.00265,          0.00064549,            0.054497,             0.01076,                   0,           0.0011668,           0.0011668,            0.065267
